"","track_name.x","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","popularity"
"6867","Tô Com Moral No Céu! - Ao Vivo","0uwaiApk6k7k9POyFjTKeR",0.343,0.802,11,-3.768,1,0.119,0.502,0,0.434,0.731,80.254,4,170460,61
"6905","espatódea","0uYwzkmWFcsu9qU6Z1XKfP",0.556,0.151,3,-15.811,1,0.0316,0.969,0.0498,0.126,0.215,156.076,4,161750,54
"6906","Cattitude (feat. RuPaul)","0uZd8cKaTyNogTREourFY5",0.801,0.851,6,-5.698,0,0.175,0.00785,0.000966,0.385,0.705,121.065,4,189973,55
"6907","All Night","0VgGHwbFBA5B9et2mSDdYQ",0.564,0.572,11,-7.073,1,0.0865,0.389,2.22e-05,0.0985,0.625,136.304,4,322000,40
"6908","Caquinho - Ao Vivo","0VKlekNsxAGFjimD9MPeOq",0.684,0.484,10,-6.052,1,0.0556,0.794,0,0.963,0.569,89.329,4,160033,62
"6914","Heaven","0vrmHPfoBadXVr2n0m1aqZ",0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,4,277262,78
"6928","Best Part of Me (feat. YEBBA)","0VsGaRXR5WAzpu51unJTis",0.565,0.242,2,-8.367,1,0.0318,0.762,9.3e-06,0.285,0.237,81.657,4,243267,71
"6929","É natural (Participação especial de Bruno Cardoso) - Ao vivo","0vT797IpZpF5o1XLCnWCUL",0.497,0.74,1,-5.475,0,0.0447,0.531,0,0.486,0.478,76.139,4,207093,65
"7164","Evoluiu","0WhDotK0QXigmsrlw0DxKK",0.776,0.465,7,-6.368,0,0.434,0.466,0,0.363,0.694,149.829,4,179644,72
"7418","Tchau Brigado - Ao Vivo","0WqNOaLQlWh1q11NSHunmu",0.569,0.598,6,-4.337,0,0.0329,0.748,0,0.848,0.858,134.382,4,150485,49
"7458","Edredom","0wryAFpQqHTvhteQx7ZNp2",0.689,0.619,7,-6.164,1,0.358,0.178,0,0.375,0.71,95.922,4,172700,67
"7626","Teste da Mãozinha - Ao Vivo","0wshnPflQAjMVaCDIraSWk",0.676,0.773,11,-4.916,1,0.0676,0.737,0,0.848,0.669,112.128,4,172472,56
"7666","Infarto","0XEJ7eph2IWFYZc73Jm3n2",0.613,0.794,10,-4.518,1,0.0347,0.277,0,0.173,0.602,124.743,4,161404,67
"8016","Ritmo do Pam Pam","0xLt187K4MEhKIxqiNALNN",0.956,0.727,9,-1.074,1,0.221,0.382,0.682,0.0515,0.932,129.966,4,155141,52
"8017","Circles","0Yde1VrWbGF2Tus2AQhMuT",0.703,0.756,0,-3.407,1,0.0376,0.222,0.00281,0.0829,0.536,119.999,4,215280,8
"8018","Bota pra Tremer","0ZHK2kaWTvSCRWkLflRFgF",0.872,0.399,9,-11.145,1,0.245,0.353,8.32e-05,0.106,0.915,149.936,4,120400,66
"8025","Panini","1000nHvUdawXuUHgBod4Wv",0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4,114893,76
"8061","Lua cheia (Participação especial de Letícia Spiller)","101eKkzYRYLluO6l8rptDN",0.709,0.704,9,-5.433,0,0.0883,0.262,0,0.525,0.583,94.012,4,199107,9
"8071","Outro Dia","10cGYECUNpFbVCZUMLGP5r",0.842,0.389,9,-10.954,1,0.34,0.305,1.04e-05,0.103,0.353,128.099,4,232514,0
"8078","Crazy In Love - Homecoming Live","10OaEuICuFoKLq48NoMblA",0.401,0.769,2,-8.319,1,0.158,0.000263,0.000458,0.327,0.402,99.226,4,167348,64
"8080","Chora Até Perder a Fala - Ao Vivo","10uczVS4TvP9WkPrQRANBx",0.809,0.877,1,-2.973,0,0.0437,0.264,0,0.3,0.818,126.977,4,189866,70
"8085","MIA (feat. Drake)","116H0KvKr2Zl4RPuVBruDO",0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,4,210368,81
"8142","Who Do You Love","11cDEev79fPKi6uJCjUhu8",0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,4,226747,21
"8165","Regras - Ao Vivo","11DkUDkBt9kaha1QRnuCMU",0.889,0.857,7,-3.662,1,0.0606,0.461,0,0.894,0.84,113.978,4,184683,54
"8436","Atende Aí My Life","11fhHtpcGu5c0ACctrmdru",0.809,0.835,10,-3.479,1,0.0295,0.24,0,0.133,0.931,134.075,4,177995,40
"8448","Deus Me Livre, Mas Quem Me Dera","11kQ5ZZ0tjEq7PeK8BMORW",0.742,0.71,0,-5.107,1,0.0317,0.198,1.6e-06,0.403,0.781,127.719,4,187141,0
"8453","Tem Moda Pra Tudo - Ao Vivo","11KS9tNAAQJW7jTq7W1WcD",0.792,0.825,11,-5.302,1,0.158,0.399,0,0.643,0.787,129.93,4,138410,57
"8494","Table For 2","11xOwUHV7P1q7UpEQuMIrx",0.657,0.614,0,-7.829,0,0.055,0.0625,0,0.397,0.723,113.009,4,176283,70
"8506","Nem de Graça","11Y1IGMIThaxu4ijcXRNYs",0.706,0.811,7,-5.26,0,0.049,0.336,0,0.241,0.928,163.943,4,172203,69
"8650","Carrinho Na Areia - Ao Vivo","126x7SdXVva2Dqh2is2CEe",0.84,0.821,2,-2.173,1,0.0422,0.394,0,0.49,0.853,117.099,4,151033,59
"8801","Cornelia Street","12M5uqx0ZuwkpLp5rJim1a",0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,4,287267,72
"8804","Poesia Acústica #6: Era uma Vez","13Rf6RaZT13TW4xLQR3MQr",0.518,0.575,5,-10.454,0,0.0524,0.426,0,0.154,0.576,93.886,4,577819,72
"9169","Nem de Graça / Saudade Arregaça - Ao Vivo","141xCZ6pvh4ymCsQkOFX80",0.477,0.813,10,-5.919,1,0.0743,0.605,0,0.467,0.75,97.888,4,342622,73
"9253","Mentira - Felipe Araújo In Brasília / Ao Vivo","146Vb458Y5RbqEa0fYFPzm",0.543,0.756,11,-3.755,0,0.235,0.445,0,0.95,0.566,153.996,4,193670,75
"9282","Chama Ela (feat. Pedro Sampaio)","14kRWkCWBYfQqILflEcpSJ",0.888,0.841,6,-1.933,1,0.147,0.46,9.12e-05,0.0568,0.964,149.994,4,120200,78
"9380","7 rings","14msK75pk3pA33pzPVNtBF",0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,4,178640,25
"9401","choque térmico - ao vivo","159ntSAEWJ9zIMOSXmQ530",0.737,0.758,2,-5.508,1,0.0402,0.342,0,0.834,0.734,126.978,4,180001,75
